191;Wegen zahlreicher Versäumnisse war eine Benotung nicht möglich. ;Wegen zahlreicher Versäumnisse war eine Benotung nicht möglich.                                                                                                                                                   
192;"Wegen schuldhafter Versäumnisse wurden Leistungsnachweise mit der Note ""ungenügend"" bewertet (§ 40 Abs. 6 BSO).";"Wegen schuldhafter Versäumnisse wurden Leistungsnachweise mit der Note ""ungenügend"" bewertet (§ 40 Abs. 6 BSO).                                                                                                   "
216;Wegen fehlender Leistungsnachweise war im Fach Sport eine Benotung nicht möglich.;Wegen fehlender Leistungsnachweise war im Fach Sport eine Benotung nicht möglich.                                                                                                                                 
193;Trotz des späten Schuleintrittes hat der Schüler schnell Anschluss an den Unterricht gefunden.;Trotz des späten Schuleintrittes hat die Schülerin schnell Anschluss an den Unterricht gefunden.                                                                                                                  
194;Wegen des späten Schuleintrittes konnte in einzelnen Fächern keine Benotung erfolgen.;Wegen des späten Schuleintrittes konnte in einzelnen Fächern keine Benotung erfolgen.                                                                                                                             
195;Wegen des späten Schuleintrittes war eine Benotung nicht möglich.;Wegen des späten Schuleintrittes war eine Benotung nicht möglich.                                                                                                                                                 
196;Der Schüler bemühte sich, trotz mangelnder Sprachkenntnisse, dem Unterricht aufmerksam zu folgen.;Die Schülerin bemühte sich, trotz mangelnder Sprachkenntnisse, dem Unterricht aufmerksam zu folgen.                                                                                                               
197;Wegen Sprachschwierigkeiten konnte in Deutsch keine Benotung erfolgen. ;Wegen Sprachschwierigkeiten konnte in Deutsch keine Benotung erfolgen.                                                                                                                                            
198;Wegen Sprachschwierigkeiten war in einzelnen Fächern keine Benotung möglich.;Wegen Sprachschwierigkeiten war in einzelnen Fächern keine Benotung möglich.                                                                                                                                      
199;Eine Benotung war aufgrund mangelnder Sprachkenntnisse nicht möglich. ;Eine Benotung war aufgrund mangelnder Sprachkenntnisse nicht möglich.                                                                                                                                             
233;Aufgrund einer Lese- und Rechtschreibschwäche wurden Leistungen im Rechtschreiben nicht bewertet - auch in den Fremdsprachen.;Aufgrund einer Lese- und Rechtschreibschwäche wurden Leistungen im Rechtschreiben nicht bewertet - auch in den Fremdsprachen.                                                                                     
222;Der Schüler hat auf Antrag am Religionsunterricht teilgenommen.;Die Schülerin hat auf Antrag am Religionsunterricht teilgenommen.                                                                                                                                                 
223;Der Schüler konnte aus schulorganisatorischen Gründen nicht am Religionsunterricht der eigenen Konfession teilnehmen.;Die Schülerin konnte aus schulorganisatorischen Gründen nicht am Religionsunterricht der eigenen Konfession teilnehmen.                                                                                           
224;Der Schüler nahm mit großem Interesse am Religionsunterricht teil. Eine Notengebung erfolgte aufgrund der geringen Anzahl der angebotenen Unterrichtsstunden nicht.;Die Schülerin nahm mit großem Interesse am Religionsunterricht teil. Eine Notengebung erfolgte aufgrund der geringen Anzahl der angebotenen Unterrichtsstunden nicht.                                             
200;Der Schüler hat am Wahlunterricht Datenverarbeitung teilgenommen. ;Die Schülerin hat am Wahlunterricht Datenverarbeitung teilgenommen.                                                                                                                                               
201;Der Schüler hat am Wahlunterricht Englisch teilgenommen.;Die Schülerin hat am Wahlunterricht Englisch teilgenommen.                                                                                                                                                        
204;Der Schüler hat am Wahlunterricht Tschechisch teilgenommen. ;Die Schülerin hat am Wahlunterricht Tschechisch teilgenommen.                                                                                                                                                     
205;Der Schüler hat am Wahlunterricht Waldwirtschaft teilgenommen. ;Die Schülerin hat am Wahlunterricht Waldwirtschaft teilgenommen.                                                                                                                                                  
204;;Eine Beurteilung und Benotung der Schülerin war nicht möglich, da sie während des Schuljahres von der Schulpflicht nach § 34 Abs. 7 BSO beurlaubt war.                                                            
205;;Die Schülerin war in diesem Schuljahr nach § 34 Abs. 7 BSO beurlaubt.                                                                                                                                             
206;Der Schüler hat ein einwöchiges Praktikum abgeleistet.;Die Schülerin hat ein einwöchiges Praktikum abgeleistet.                                                                                                                                                          
207;Der Schüler hat ein zweiwöchiges Praktikum abgeleistet.;Die Schülerin hat ein zweiwöchiges Praktikum abgeleistet.                                                                                                                                                         
208;Der Schüler hat ein dreiwöchiges Praktikum abgeleistet.;Die Schülerin hat ein dreiwöchiges Praktikum abgeleistet.                                                                                                                                                         
209;Der Schüler hat ein vierwöchiges Praktikum abgeleistet. ;Die Schülerin hat ein vierwöchiges Praktikum abgeleistet.                                                                                                                                                         
229;Der Schüler hat an den Praktika teilgenommen.;Die Schülerin hat an den Praktika teilgenommen.                                                                                                                                                                   
230;Der Schüler hat mit Erfolg an den Praktika teilgenommen.;Die Schülerin hat mit Erfolg an den Praktika teilgenommen.                                                                                                                                                        
231;Der Schüler hat mit gutem Erfolg an den Praktika teilgenommen.;Die Schülerin hat mit gutem Erfolg an den Praktika teilgenommen.                                                                                                                                                  
232;Der Schüler hat mit sehr gutem Erfolg an den Praktika teilgenommen.;Die Schülerin hat mit sehr gutem Erfolg an den Praktika teilgenommen.                                                                                                                                             
210;Notenausgleich wurde auf Beschluss der Klassenkonferenz gewährt.;Notenausgleich wurde auf Beschluss der Klassenkonferenz gewährt.                                                                                                                                                  
252;Notenausgleich gem. § 47 BSO Abs. 4 Satz 4 wird gewährt.;Notenausgleich gem. § 47 BSO Abs. 4 Satz 4 wird gewährt.                                                                                                                                                          
247;Die Probezeit wurde bis +++ verlängert.;Die Probezeit wurde bis +++ verlängert.                                                                                                                                                                           
248;Er hat die Probezeit gem. § 7 FSO nicht bestanden.;Sie hat die Probezeit gem. § 7 FSO nicht bestanden.                                                                                                                                                               
249;Er hat die Probezeit gem. § 7 BFSOHwKiSo nicht bestanden.;Sie hat die Probezeit gem. § 7 BFSOHwKiSo nicht bestanden.                                                                                                                                                        
211;Die Erlaubnis zum Vorrücken in die nächste Jahrgangsstufe hat er erhalten.;Die Erlaubnis zum Vorrücken in die nächste Jahrgangsstufe hat sie erhalten.                                                                                                                                       
212;Die Erlaubnis zum Vorrücken in die Jahrgangsstufe 12 hat er auf Probe erhalten.;Die Erlaubnis zum Vorrücken in die Jahrgangsstufe 12 hat sie auf Probe erhalten.                                                                                                                                  
213;Die Erlaubnis zum Vorrücken in die nächste Jahrgangsstufe hat er nicht erhalten.;Die Erlaubnis zum Vorrücken in die nächste Jahrgangsstufe hat sie nicht erhalten.                                                                                                                                 
220;Der Besuch der einjährigen Berufsfachschule für gastgewerbliche Berufe wird nach Maßgabe der Berufsgrundbildungsjahr-Anrechnungsverordnung auf die Ausbildungszeit in dem Berufsfeld Ernährung und Hauswirtschaft,;Der Besuch der einjährigen Berufsfachschule für gastgewerbliche Berufe wird nach Maßgabe der Berufsgrundbildungsjahr-Anrechnungsverordnung auf die Ausbildungszeit in dem Berufsfeld Ernährung und Hauswirtschaft,
221;Schwerpunkt Gastgewerbe und Hauswirtschaft, zugeordneten Berufen angerechnet.;Schwerpunkt Gastgewerbe und Hauswirtschaft, zugeordneten Berufen angerechnet.                                                                                                                                     
218;Der Schüler hat das Bildungsziel der Grundstufe der Berufsschule erreicht.;Die Schülerin hat das Bildungsziel der Grundstufe der Berufsschule erreicht.                                                                                                                                      
219;Der Schüler hat das Bildungsziel der Grundstufe der Berufsschule nicht erreicht.;Die Schülerin hat das Bildungsziel der Grundstufe der Berufsschule nicht erreicht.                                                                                                                                
215;Aufgrund der Lehrzeitverkürzung erfolgte der Eintritt unmittelbar in die 11. Jahrgangsstufe. Es konnte daher in dem Fach xxx aus der 10. Jahrgangsstufe keine Note übernommen werden.;Aufgrund der Lehrzeitverkürzung erfolgte der Eintritt unmittelbar in die 11. Jahrgangsstufe. Es konnte daher in dem Fach xxx aus der 10. Jahrgangsstufe keine Noe übernommen werden.                              
217;Aufgrund der Lehrzeitverkürzung erfolgte der Eintritt unmittelbar in die 11. Jahrgangsstufe. Es konnten daher in den Fächern xxx aus der 10. Jahrgangsstufe keine Noten übernommen werden.;Aufgrund der Lehrzeitverkürzung erfolgte der Eintritt unmittelbar in die 11. Jahrgangsstufe. Es konnten daher in den Fächern xxx aus der 10. Jahrgangsstufe keine Noten übernommen werden.                        
226;"Das Fach Deutsch umfasste u. a. das Unterrichtsprojekt ""Implementierung vernetzter Systeme"".";"Das Fach Deutsch umfasste u. a. das Unterrichtsprojekt ""Implementierung vernetzter Systeme"".                                                                                                                      "
214;Er sollte seine schulischen Leistungen im zweiten Halbjahr steigern.;Sie sollte ihre schulischen Leistungen im zweiten Halbjahr steigern.                                                                                                                                              
227;Der Schüler hat an der Abschlussprüfung ohne Erfolg teilgenommen. Gemäß Art. 54 Abs. 5 BayEUG kann die Abschlussprüfung wiederholt werden.;Die Schülerin hat an der Abschlussprüfung ohne Erfolg teilgenommen. Gemäß Art. 54 Abs. 6 BayEUG kann die Abschlussprüfung wiederholt werden.                                                                      
228;Der Schüler hat an der Abschlussprüfung ohne Erfolg teilgenommen. Gemäß Art. 54 Abs. 5 BayEUG kann die Abschlussprüfung nicht wiederholt werden.;Die Schülerin hat an der Abschlussprüfung ohne Erfolg teilgenommen. Gemäß Art. 54 Abs. 6 BayEUG kann die Abschlussprüfung nicht wiederholt werden.                                                                
250;Der Schüler hat an dem Schulversuch "Berufsschule Plus" zum Erwerb der Fachhochschulreife am Staatl. Beruflichen Schulzentrum Wiesau teilgenommen.;Die Schülerin hat an dem Schulversuch "Berufsschule Plus" zum Erwerb der Fachhochschulreife am Staatl. Beruflichen Schulzentrum Wiesau teilgenommen.                                                              "
251;Der Schüler nimmt an dem Schulversuch "Berufsschule Plus" zum Erwerb der Fachhochschulreife am Staatl. Beruflichen Schulzentrum Wiesau teil.;Die Schülerin nimmt an dem Schulversuch "Berufsschule Plus" zum Erwerb der Fachhochschulreife am Staatl. Beruflichen Schulzentrum Wiesau teil.                                                                    "
